internal_sku,platform_sku,description,category
INT-F87ACF,45069,Telecaster,Guitars>Electric solid body
INT-EDEC3E,45085,Les Paul Custom,Guitars>Electric solid body
INT-07D9CC,45086,Les Paul Standard,Guitars>Electric solid body
INT-E89E6E,45087,Les Paul Standard,Guitars>Electric solid body
INT-9A6E70,45088,Stratocaster,Guitars>Electric solid body
INT-442045,45089,ES5,Guitars>Archtop>Electric
INT-50A721,45090,Byrland,Guitars>Semi-hollow body
INT-4056A2,45091,Country Gentleman,Guitars>Semi-hollow body
INT-092A58,45093,Double Anniversary,Guitars>Semi-hollow body
INT-7DEBDE,45094,50th Anniversary Stratocaster,Guitars>Electric solid body
INT-B9768D,45095,Starplayer TV Pearl Top,Guitars>Semi-hollow body
INT-D0829A,45096,Carl Carlton,Guitars>Semi-hollow body
INT-E66C96,45098,MK IV,Amps>Combo
INT-8E3446,45137,365 Capri,Guitars>Semi-hollow body
INT-F48ED6,45138,Stratocaster,Guitars>Electric solid body
INT-B8E567,45139,Jazzmaster,Guitars>Electric solid body
INT-DF2F51,45141,Stratocaster,Guitars>Electric solid body
INT-EC087F,45142,Telecaster,Guitars>Electric solid body
INT-F7359E,45143,Stratocaster,Guitars>Electric solid body
INT-72BF7D,45144,Stratocaster,Guitars>Electric solid body
INT-570260,45145,J200,Guitars>Flat top
INT-9C3A9C,45148,Jazz Bass,Basses>4 string
INT-DB1939,45164,F5,Stringed Instruments>Mandolin & mandolin family
INT-D5B777,45165,Country Gentleman,Guitars>Semi-hollow body
INT-FBDD21,45166,L5,Guitars>Archtop>Electric
INT-26644E,45167,500/5 Stu Sutcliffe Bass,Basses>Semi-hollowbody
INT-21B6C5,45168,000-28,Guitars>Flat top
INT-C527C7,45169,D28,Guitars>Flat top
INT-AB0C08,45238,AC4,Amps>Combo
INT-171B0C,45239,High Powered Twin,Amps>Combo
INT-964C37,45365,L32C,Guitars>Flat top
INT-2FE248,46543,Precision Bass,Basses>4 string
INT-1AC2AC,46544,Jazzmaster,Guitars>Electric solid body
INT-5742B5,49261,Electric XII,Guitars>12 string>Electric
INT-16D9A5,49262,Coronado II Wildwood,Guitars>Semi-hollow body
INT-4F5A49,49263,Stingray I The first Musicman ever sold!,Guitars>Electric solid body
INT-1AC34F,49264,Stratocaster,Guitars>Electric solid body
INT-D77CFA,49265,Firebird,Guitars>Electric solid body
INT-675022,49266,Hank Marvins Mesa Boogie MK2C Combo with Cabinet,Amps>Combo
INT-6A381C,49267,Mark Knopflers Schecter Stratocaster,Guitars>Electric solid body
INT-AA0CED,49268,Les Paul Custom,Guitars>Electric solid body
INT-072B73,49269,Les Paul Standard,Guitars>Electric solid body
INT-6CBD4C,49270,Les Paul Standard,Guitars>Electric solid body
INT-895C01,49273,1965-1969 Collection,Amps>Head + Cab
INT-A40C77,49542,Pep Box,Effects>Fuzz
INT-C15D31,49543,1951 Leo Fender Pickup Winder,Guitars>Parts & accessories>Pickups>Other
INT-508F59,49657,Les Paul Standard 'Grainger Burst',Guitars>Electric solid body
INT-97C090,50084,Les Paul Standard,Guitars>Electric solid body
INT-BCFF4A,51782,Stratocaster,Guitars>Electric solid body
INT-AB1CA0,51783,Stratocaster,Guitars>Electric solid body
INT-94ED40,51784,ES335 Dot Neck,Guitars>Semi-hollow body
INT-674414,51785,BASS VI,Guitars>Baritone
INT-CF997B,51786,500/1 Violin Bass,Basses>4 string
INT-6B656D,51787,Tri-lam,Guitars>Semi-hollow body
INT-03681C,51788,400 Ekomaster,Guitars>Electric solid body
INT-383CCC,51789,Committee,Guitars>Semi-hollow body
INT-4BF034,51790,LG50,Guitars>Electric solid body
INT-FC6D4F,51794,20W Greenback Quad 4x12 Speakers,Amps>Cabinets
INT-644F39,53127,Overdrive Special Ex Joe Bonamassa,Amps>Combo
INT-D530BF,53128,G12 Alnico Quad for Marshall Bluesbreaker or Pinstripe,Amps>Cabinets
INT-A906F3,53129,AC30 Head,Amps>Heads
INT-80CBA6,53130,Reverb Original “New” In packing Box Wow Wow ,Effects>Reverb
INT-898EA5,53824,Les Paul Standard,Guitars>Electric solid body
INT-D55B0D,53930,ES355 ex John Squire THE STONE ROSES,Guitars>Semi-hollow body
INT-BA1790,53931,ES345 ex John Squire THE STONE ROSES,Guitars>Semi-hollow body
INT-649AEB,53932,Telecaster Thinline ex John Squire THE STONE ROSES,Guitars>Semi-hollow body
INT-931EA1,54270,Bikini Guitar + Amp Bizarre Guitar,Guitars>Electric solid body
INT-AED453,54271,Rock Oval BOB DYLAN!,Guitars>Archtop>Electric
INT-7A6340,54272,Scarabeo,Guitars>Electric solid body
INT-5C6123,54312,400,Guitars>Electric solid body
INT-4D43A0,54313,Fenton-Weill Dualmaster ,Guitars>Electric solid body
INT-E66F4B,54317,I,Guitars>Electric solid body
INT-768F33,54324,Baldwin Double Six ,Guitars>Electric solid body
INT-13EC24,54326,WEM Rapier 33,Guitars>Electric solid body
INT-8F8876,54327,Colorama II,Guitars>Electric solid body
INT-D065BC,56136,Starfinder 4x12 Cabinet,Amps>Cabinets
INT-1815E1,56163,MK1 TONE BENDER ,Effects>Fuzz
INT-8E8969,56164,MK1.5 TONE BENDER ,Effects>Fuzz
INT-74C607,56165,PROFESSIONAL MK11 TONE BENDER OC75 ,Effects>Fuzz
INT-898245,56166,MKII TONE BENDER OC81D,Effects>Fuzz
INT-5049B3,56167,BUZZAROUND ,Effects>Fuzz
INT-A2CE56,56168,ZONK MACHINE MKI,Effects>Fuzz
INT-4190C4,56169,DALLAS RANGEMASTER,Effects>Fuzz
INT-51626A,56188,Shatterbox,Effects>Fuzz
INT-8F0A40,56193,Stratocaster,Guitars>Electric solid body
INT-BE3BC7,56194,Stratocaster,Guitars>Electric solid body
INT-073A3A,56195,Stratocaster,Guitars>Electric solid body
INT-AB0B94,57542,Rangemaster,Effects>Treble Booster
INT-1802A2,57543,Jazzmaster,Guitars>Electric solid body
INT-B7AAD5,57544,Domino Echo,Effects>Delay & Echo
INT-D617FE,57545,Series II Bluesbreaker Clapton Spec,Amps>Combo
INT-2AFA19,57546,Stratocaster Hendrix,Guitars>Electric solid body
INT-71FC34,57547,500/1 Violin Bass,Basses>4 string
INT-B0FE7F,57548,000-28 Brazilian,Guitars>Flat top
INT-D28628,57550,Master Built Stratocaster 2011 Pink  EX JOHN SQUIRE THE STONE ROSES,Guitars>Electric solid body
INT-E01EDF,57944,Les Paul Standard,Guitars>Electric solid body
INT-0AB663,60923,Les Paul Standard,Guitars>Electric solid body
INT-AB7671,60924,Les Paul Heritage 80 Standard,Guitars>Electric solid body
INT-071E0F,60925,ES335 Dot,Guitars>Semi-hollow body
INT-1E1F88,60926,Les Paul SG Special,Guitars>Electric solid body
INT-816806,60927,Les Paul Sg Standard,Guitars>Electric solid body
INT-2F7E80,60928,Telecaster,Guitars>Electric solid body
INT-325B7A,60931,Musicmaster,Basses>4 string
INT-184D03,60932,Surfcaster,Guitars>Electric solid body
INT-F7F3FC,60933,S60-D,Guitars>Electric solid body
INT-B5A0B8,60934,360,Guitars>Semi-hollow body
INT-C7E797,60935,360-12,Guitars>Semi-hollow body
INT-FB7A09,60937,Mary Kaye Stratocaster,Guitars>Electric solid body
INT-A6DE5E,65490,Overdrive Special,Amps>Heads
INT-AD69F1,65492,ES175,Guitars>Archtop>Electric
INT-451442,65493,Les Paul Custom,Guitars>Electric solid body
INT-E47E58,65495,Electric XII,Guitars>Electric solid body
INT-D9B101,65496,Telecaster,Guitars>Electric solid body
INT-EAED71,65549,D20 Brazilian Rosewood,Guitars>Flat top
INT-7E4E8F,65550,Phazex Phaser,Effects>Phaser
INT-A21AA2,68523,Model 9 MKI,Guitars>Electric solid body
INT-45A153,68524,Flip Top Copicat Tape Echo,Effects>Delay & Echo
INT-FB372B,68525,Custom Shop Joe Bonamassa Goldtop Aged and Signed,Guitars>Electric solid body
INT-5BB39B,68526,"Overdrive Export Combo Casing , Original",Amps>Combo
INT-91C070,68527,Custom Shop Eric Clapton Beano 1960 Les Paul Standard,Guitars>Electric solid body
INT-CB7491,68530,Airbrake Prototype,Effects>Attenuator
INT-5562FE,68531,Byrdland,Guitars>Archtop>Electric
INT-F5CA2E,68532,L4 CES,Guitars>Archtop>Electric
INT-2D9C3D,68533,6120 Country Gentleman Fixed Arm Bigsby,Guitars>Semi-hollow body
INT-1F4738,68534,Stratocaster,Guitars>Electric solid body
INT-0DD53A,68535,"J15 EX Steve Howe, Yes, Asia",Guitars>Flat top
INT-A88CEA,68536,"AC30 Top Boost ex Steve Howe YES, Asia",Amps>Combo
INT-916231,68913,Super Chet,Guitars>Semi-hollow body
INT-B8AF32,68914,Custom Shop Joe Perry Les Paul,Guitars>Electric solid body
INT-F3E44C,68915,Tri-Lam,Guitars>Semi-hollow body
INT-3CD005,68916,Les Paul Standard,Guitars>Electric solid body
INT-99B374,68917,Reverb Tank,Effects>Reverb
INT-80886E,68918,Super V (Super 400 Deluxe Edition),Guitars>Semi-hollow body
INT-ABED56,68919,35th Anniversary Stratocaster,Guitars>Electric solid body
INT-1B59F2,68920,AC30,Amps>Combo
INT-CA2B16,68921,Les Paul Deluxe,Guitars>Electric solid body
INT-569CFA,68923,Custom 24 Artist Pack with Rosewood Neck,Guitars>Electric solid body
INT-B734CB,68924,Committee,Guitars>Semi-hollow body
INT-C940FF,68925,Committee with Floating Pickup,Guitars>Semi-hollow body
INT-D4A4C7,68927,Stratocaster,Guitars>Electric solid body
INT-0B87BC,68928,Volume Pedal EX Steve Howe YES ASIA,Effects>Other
INT-0ED05A,68929,Artist Korina Custom,Guitars>Semi-hollow body
INT-C05355,68930,SA4123 ML EXECUTIVE ex WHO,Amps>Cabinets
INT-039104,68931,Tremolux Piggyback ML Executive THE WHO,Amps>Head + Cab
INT-755BB8,68935,Custom Shop Ace Frehley Kiss Budokan Les Paul,Guitars>Electric solid body
INT-D3CFE0,68936,Short Tom Echo Hank Marvin Jimmy Page,Effects>Delay & Echo
INT-769BD4,68937,UL430 Prototype THE BEATLES,Amps>Heads
INT-4368CA,68938,Custom Shop Billy Gibbon Pearly Gates Les Paul Std,Guitars>Electric solid body
INT-76FFE5,68939,Custom Shop Jimmy Page Les Paul Standard No1 ex Dan Hawkins THE DARKNESS,Guitars>Electric solid body
INT-C3CEFD,68940,Les Paul Deluxe,Guitars>Electric solid body
INT-D1C326,68942,Vetta II Combo Ex Steve Howe YES Asia,Amps>Combo
INT-B1D399,68945,Jaguar,Guitars>Electric solid body
INT-46BF0B,68946,Jaguar,Guitars>Electric solid body
INT-775151,68947,Twin,Amps>Combo
INT-259BCA,68948,Silver Bulldog Speakers,Amps>Cabinets
INT-E957C2,68949,Super Echo Twin,Amps>Combo
INT-5AFC31,68950,J200,Guitars>Flat top
INT-B1CDFF,68951,360-12V64 McGuinn George Harrison Tom Petty,Guitars>Electric solid body
INT-837027,68952,"Deluxe Reverb ex Jack Bruce, Eric Clapton, Cream",Amps>Combo
INT-FC19EA,68965,Stratocaster,Guitars>Electric solid body
INT-E3E6C2,69060,Stratocaster,Guitars>Electric solid body
INT-8302A7,69248,Liverpool,Amps>Heads
INT-4FBE32,69344,Custom Built Telecaster,Guitars>Electric solid body
INT-1360ED,69366,"1966 JTM45 Panel , Repro/replica",Amps>Heads
INT-E63B2C,69367,1967 JMP SUPERLEAD PLEXI BACK PANEL DNA REPLICA ,Amps>Heads
INT-B2AF0A,69368,"1966 Bluesbreaker JTM45 Panel , Repro/replica",Amps>Heads
INT-D62BDB,69369,"1968 Bluesbreaker , 18 Watt , Mini Bluesbreaker , Correct Plexi Panel",Amps>Heads
INT-B2ECA4,69370,"1968 JMP Plexi - Front Panel , 50W, 100W Superlead 100% DNA Replica",Amps>Heads
INT-F2918E,69379,Stratocaster,Guitars>Electric solid body
INT-B6E650,69595,SG Standard,Guitars>Electric solid body
INT-AE6054,69673,ES330,Guitars>Semi-hollow body
INT-8BA7BB,69674,ES335 Block Neck,Guitars>Semi-hollow body
INT-1AAAC2,69675,Casino ES220D,Guitars>Semi-hollow body
INT-D0F733,69676,ES355,Guitars>Semi-hollow body
INT-90CCAB,69677,360-12,Guitars>12 string>Electric
INT-3AE82D,69678,Jazz Bass Custom Colour,Basses>4 string
INT-F35E8B,69715,Les Paul Standard,Guitars>Electric solid body
INT-DB369B,69802,Custom Shop Hank Marvin Stratocaster Signed by Hank,Guitars>Electric solid body
INT-FD01B5,69803,Telecaster with Factory Fit Bigsby,Guitars>Electric solid body
INT-82F55E,69804,Dominator NEAR MUSEUM CONDITION,Amps>Combo
INT-4BC931,69805,CEO-7 EX RICK PARFITT STATUS QUO,Guitars>Flat top
INT-78FCF7,69806,ES345,Guitars>Semi-hollow body
INT-1901F4,69807,XG10 Aluminium Neck,Guitars>Electric solid body
INT-A9B4BA,69808,20 (AC30),Amps>Combo
INT-8E338C,69809,15 (AC15),Amps>Combo
INT-6B55E0,69810,100 (AC100),Amps>Heads
INT-B4B990,69865,Stratocaster Left Handed,Guitars>Electric solid body
INT-01010F,69866,6119 Tennessean,Guitars>Semi-hollow body
INT-884406,69867,Les Paul Custom Shop Long Scale Les Paul,Guitars>Electric solid body
INT-D9922D,69868,Stratocaster Left Handed,Guitars>Electric solid body
INT-7EDAF3,69880,1A Flamenco Ex Steve Howe Yes,Guitars>Classical
INT-212BA8,69881,EB-0 Ex Steve Howe Yes,Basses>4 string
INT-39253A,69882,Les Paul Custom Ex Steve Howe YES,Guitars>Electric solid body
INT-C597F9,69883,H1 Mandola Ex Steve Howe YES,Stringed Instruments>Mandolin & mandolin family
INT-06314F,70384,J200,Guitars>Flat top
INT-297385,70385,ES-330 VOS,Guitars>Semi-hollow body
INT-492212,70386,JTM45 Silver and Maroon Block Logo,Amps>Heads
INT-BEE97D,70387,Stratocaster,Guitars>Electric solid body
INT-44C828,70388,President,Guitars>Semi-hollow body
INT-3FBE86,70389,Les Paul Ltd Edition,Guitars>Electric solid body
INT-4A943E,70476,NOS Ltd Edition Zonk Machine,Effects>Fuzz
INT-C23331,70477,NOS Ltd Edition Professional MKII Tone Bender OC81D,Effects>Fuzz
INT-6F4795,70478,NOS Ltd Edition MKI Tone Bender,Effects>Fuzz
INT-79DCF6,70479,Compact Series MKI Tone Bender,Effects>Fuzz
INT-298EFA,70480,Compact Series Professional MKII Tone Bender,Effects>Fuzz
INT-F5BABE,70481,Compact Series Pep,Effects>Fuzz
INT-057E4F,70482,Compact Series Zonk Machine,Effects>Fuzz
INT-C1C6AB,70483,Compact Series Dallas Rangemaster,Effects>Treble Booster
INT-6BB385,70484,Compact Series NOS Rangemaster,Effects>Treble Booster
INT-DB4999,70485,ES-345,Guitars>Semi-hollow body
INT-43BDAC,70659,Connoisseur of Fuzz Collection,Effects>Fuzz
INT-1518EC,70661,NOS Rangemaster Package,Effects>Treble Booster
INT-20981D,70662,MULLARD LOADED NOS RANGEMASTER PACKAGE,Effects>Treble Booster
INT-B45E43,70867,Jazzmaster,Guitars>Electric solid body
INT-5F3925,70868,Stratocaster,Guitars>Electric solid body
INT-A3436B,70869,Precision Bass,Basses>4 string
INT-64590B,70870,Coronet,Guitars>Electric solid body
INT-7F2814,70871,D28,Guitars>Flat top
INT-C07F2F,70872,Tenor guitar,Guitars>Tenor
INT-0D84AB,70889,Stratocaster,Guitars>Electric solid body
INT-CFE24A,70892,J180 Everly Brothers,Guitars>Flat top
INT-F71D0E,70893,12 String ex David Gilmour PINK FLYD,Guitars>12 string>Acoustic
INT-EE8C29,70895,D18,Guitars>Flat top
INT-AD5416,70897,J50,Guitars>Flat top
INT-1A45DA,71119,Les Paul Special,Guitars>Electric solid body
INT-9721FB,71120,White Falcon,Guitars>Semi-hollow body
INT-ABD143,71126,Stratocaster,Guitars>Electric solid body
INT-F7C8A8,71131,Stratocaster ex Gary Moore,Guitars>Electric solid body
INT-39AA62,71135,Les Paul Custom THE WORLDS FINEST,Guitars>Electric solid body
INT-D3C525,71138,1997 (330) Rose Morris,Guitars>Semi-hollow body
INT-5CE0DE,71140,J200,Guitars>Flat top
INT-ACFB02,71360,Esquire,Guitars>Electric solid body
INT-C1DA3D,71361,ES330,Guitars>Semi-hollow body
INT-6980EF,71362,Custom Telecaster,Guitars>Electric solid body
INT-536089,71363,Les Paul Standard Goldtop,Guitars>Electric solid body
INT-E6CEBE,71364,High Powered Twin Ex Rory Gallagher,Amps>Combo
INT-D9A2B7,71365,Hummingbird,Guitars>Flat top
INT-73202C,71366,J50,Guitars>Flat top
INT-F359E8,71367,Precision Bass,Basses>4 string
INT-B40C92,71368,Club 50,Guitars>Semi-hollow body
INT-7DA797,71702,15 HANDBUILT IN UK,Amps>Combo
INT-2C1E5C,71706,Echorec 2 EX GARY MOORE,Effects>Delay & Echo
INT-3FBB14,71707,ES175,Guitars>Archtop>Electric
INT-FC8486,71708,L5 CES,Guitars>Archtop>Electric
INT-788F9A,72023,ES330,Guitars>Semi-hollow body
INT-5537D1,72024,SG Special,Guitars>Electric solid body
INT-7972CC,72025,Jack Casady Bass ex Mani THE STONE ROSES,Basses>4 string
INT-215961,72026,4005 ex Mani THE STONE ROSES,Basses>Semi-hollowbody
INT-6C87F7,72027,400+ Bass Rig ex Mani THE STONE ROSES,Amps>Head + Cab
INT-C80413,72028,Les Paul Standard,Guitars>Electric solid body
INT-910907,72120,Reverb/Fuzz Unit SUPER RARE,Effects>Fuzz
INT-5E1D3A,72121,Vibroverb ,Amps>Combo
INT-5BFFE2,72123,Stratocaster,Guitars>Electric solid body
INT-512CEE,72126,ES-335 Dont Neck,Guitars>Semi-hollow body
INT-DD7286,72127,ES-175,Guitars>Semi-hollow body
INT-EA8A72,72128,"ES-5 EX STEVE HOWE, YES, ASIA",Guitars>Archtop>Electric
INT-8E1970,72455,JMP Bluebreaker Combo THE JOHN SQUIRE COLLECTION,Amps>Combo
INT-6F660C,72459,Custom Built 30W Stack THE JOHN SQUIRE COLLECTION,Amps>Head + Cab
INT-F1A680,72461,Dual Master THE JOHN SQUIRE COLLECTION,Amps>Combo
INT-377134,72752,Treble Booster,Effects>Treble Booster
INT-68193A,72753,Overdriver,Effects>Overdrive
INT-17FEC3,72754,Custom Shop Joe Walsh Les Paul ARTIST PROOF NO1,Guitars>Electric solid body
