brand name,category name,external link,product id,external id,product model name,product price,product price notax,product description,product year,product sold,product finish,product in collective,product in inventory,product in reseller,collective discount,free shipping,buy now,show vat,decade,product order,local pickup,offer discount,available for shipment,processing time,image url,video url
martin,Guitars>Flat top,http://www.denmarkstreetonline.co.uk/product-details/1947-Martin-D28-Dreadnought,45169,,D28,0,,"<p>Martin D28</p>
<ul>
<li>1947</li>
<li>Natural</li>
<li>Internally - Externally Original</li>
<li>Condition 8/10 (Light - Normal Playing wear)</li>
</ul>",1947,yes,Natural,no,yes,yes,0,no,no,no,,10,no,0,no,,https://www.vintageandrare.com/uploads/products/45169/1719140/original.jpg|https://www.vintageandrare.com/uploads/products/45169/1719141/original.jpg|https://www.vintageandrare.com/uploads/products/45169/1719142/original.jpg|https://www.vintageandrare.com/uploads/products/45169/1719143/original.jpg,
vox,Amps>Combo,http://www.denmarkstreetonline.co.uk/product-details/1960-Vox-AC4,45238,,AC4,1599,,"<h2>VOX AC4</h2>
<ul>
<li>1960 (Circa)</li>
<li>Beige - Fawn</li>
<li>Brown Grill</li>
<li>Original Swing Tag (Super Cool +++ )</li>
<li>Condition 10/10 (New)</li>
</ul>
<p style='text-align: center;'><strong>THIS IS AN EXAMPLE OF THE PRODUCT WE HAVE SOLD RECENTLY</strong></p>
<p style='text-align: center;'><strong>WE ARE EUROPES NO.1 DEALER OF NEW, USED AND VINTAGE GUITARS, AMPLIFIERS AND EFFECTS OVER 30 YEARS EXPERIENCE IN THE MUSIC INDUSTRY</strong>
<strong>WE BUY, SELL AND TRADE</strong>
<strong>WHOLE COLLECTIONS BOUGHT AND SOLD</strong>
<strong>IF YOU ARE LOOKING FOR A PARTICULAR CLASSIC GUITAR OR HAVE ONE TO SELL THEN PLEASE GET IN TOUCH</strong>
<strong>SALES@LONDONVINTAGEGUITARS.COM</strong></p>",1960,yes,Fawn,no,yes,no,0,no,yes,no,1960,10,yes,0,no,,https://www.vintageandrare.com/uploads/products/45238/1722157/original.jpg,
fender,Amps>Combo,http://www.denmarkstreetonline.co.uk/product-details/1958-Fender-Tweed-Twin,45239,,High Powered Twin,0,,"<div>
<h1 style='text-align: center;'><span><strong>Denmark Street Guitars</strong></span></h1>
<p style='text-align: center;'><span><strong>- Europes No1 Vintage Guitar Amplifier and Effects Dealer -</strong></span></p>
<p style='text-align: center;'><span>Over 40 years experience buying selling and trading new, used and vintage guitars, amps and FX</span></p>
</div>
<div style='text-align: center;'><span><strong>1958 Fender Twin</strong></span></div>
<div style='text-align: center;'>High Powered (4+ 6L6)</div>
<div style='text-align: center;'>Tweed</div>
<div style='text-align: center;'>Jenson Alnicos</div>
<div style='text-align: center;'>Intenally - Externally Original</div>
<div style='text-align: center;'></div>
<div style='text-align: center;'><strong>History</strong>
The amplifier is being offered for sale from the original owner and comes with full writhen verification</div>
<div style='text-align: center;'></div>
<div style='text-align: center;'><strong>Notes,</strong>The<strong>HIGH POWERED TWEED TWIN</strong>is the<strong>HOLY GRAIL</strong>of Fender amplifiers and most examples I have seen - offered have been in heavily used condition (This is the number one favourite amplifier of Keith Richards - David Gilmour etc</div>
<div>
<p style='text-align: center;'><strong>THIS IS AN EXAMPLE OF THE PRODUCT WE HAVE SOLD RECENTLY</strong></p>
<p style='text-align: center;'><span><strong>Over 1000 instruments in stock</strong></span></p>
<p style='text-align: center;'><span><strong>WE BUY SELL &amp; TRADE WHOLE COLLECTIONS</strong></span></p>
<p style='text-align: center;'><span><strong>BEST PRICES PAID</strong></span></p>
<p style='text-align: center;'><span><strong>WORLDWIDE COLLECTION AVAILABLE</strong></span></p>
<p><span><strong></strong></span></p>
<p style='text-align: center;'><strong>
</strong><strong></strong></p>
</div>",1958,yes,Tweed,no,yes,no,0,no,no,no,1950,10,no,0,yes,,https://www.vintageandrare.com/uploads/products/45239/1722158/original.jpg,
lowden,Guitars>Flat top,http://www.denmarkstreetonline.co.uk/product-details/Lowden-L32C-Jumbo-Acoustic-with-Cutaway,45365,,L32C,1999,,"<h1 style='text-align: center;'><strong>Denmark Street Guitars</strong></h1>
<p style='text-align: center;'><strong>- Europes No1 Vintage Guitar Amplifier and Effects Dealer -</strong></p>
<p style='text-align: center;'>Over 40 years experience buying selling and trading new, used and vintage guitars, amps and FX</p>
<h1 style='text-align: center;'>Lowden L32C</h1>
<p style='text-align: center;'><span style='text-align: center;'>&lsquo;Dolphin&rsquo; profile soundboard bracing for Lowden voicing</span>
<span style='text-align: center;'>5 piece neck with ebony bound fingerboard</span>
<span style='text-align: center;'>Shaller machineheads</span>
<span style='text-align: center;'>Bone top nut and saddle</span>
<span style='text-align: center;'>All solid AAA grade tonewoods</span>
<span style='text-align: center;'>All wood bindings and purflings and rosette</span>
<span style='text-align: center;'>Split two piece saddle for accurate tuning</span>
<span style='text-align: center;'>Used condition</span></p>
<p style='text-align: center;'><strong><span style='text-align: center;'>This is an example of a product we have recently sold. Please contact us for similar products</span></strong></p>
<p style='text-align: center;'><strong>Over 1000 instruments in stock</strong></p>
<p style='text-align: center;'><strong>WE BUY SELL &amp; TRADE WHOLE COLLECTIONS</strong></p>
<p style='text-align: center;'><strong>BEST PRICES PAID</strong></p>
<p style='text-align: center;'><strong>WORLDWIDE COLLECTION AVAILABLE</strong></p>",,yes,Natural,no,yes,no,0,no,yes,no,1980,10,no,0,yes,,https://www.vintageandrare.com/uploads/products/45365/1729981/original.jpg|https://www.vintageandrare.com/uploads/products/45365/1729982/original.jpg|https://www.vintageandrare.com/uploads/products/45365/1729983/original.jpg,
fender,Basses>4 string,,46543,,Precision Bass,0,,"<h1 style='text-align: center;'>Denmark Street Guitars</h1>
<h4 style='text-align: center;'>- Europes No1 Vintage Guitar Amplifier and Effects Dealer -</h4>
<p style='text-align: center;'>Over 40 years experience buying selling and trading new, used and vintage guitars, amps and FX</p>
<p style='text-align: center;'>All original Blonde 53 P Bass with Blackguard. Excellent condition with tons of MOJO!</p>
<p style='text-align: center;'><span style='text-align: center;'>Fender Precision</span>
<span style='text-align: center;'>1953</span>
<span style='text-align: center;'>Blonde Finish</span>
<span style='text-align: center;'>All original</span>
<span style='text-align: center;'>Period Case</span>
<span style='text-align: center;'>Maple Neck</span>
<span style='text-align: center;'>Non Contour body</span></p>
<p style='text-align: center;'><strong>THIS IS AN EXAMPLE OF THE PRODUCT WE HAVE SOLD RECENTLY</strong></p>
<p style='text-align: center;'><strong>Please mail if you are seeking a similar instrument</strong></p>
<p style='text-align: center;'><strong>Over 1000 instruments in stock</strong></p>
<p style='text-align: center;'><strong>WE BUY SELL &amp; TRADE WHOLE COLLECTIONS</strong></p>
<p style='text-align: center;'><strong>BEST PRICES PAID</strong></p>
<p style='text-align: center;'><strong>WORLDWIDE COLLECTION AVAILABLE</strong></p>
<p style='text-align: center;'></p>",1953,yes,Blonde,no,yes,no,0,no,no,no,1950,10,yes,0,yes,,https://www.vintageandrare.com/uploads/products/46543/1772634/original.jpg,
fender,Guitars>Electric solid body,,46544,,Jazzmaster,6499,,"<p>The following instrument is the worlds finest example , the condition is NEW and cannot be compared to lesser grade instruments in terms of pricing / desirability , please find full details as follows</p>
<h2>Fender Jazzmaster</h2>
<ul>
<li>1963</li>
<li>Sunburst</li>
<li>Rosewood Neck</li>
<li>Internally - Externally Original</li>
<li>Original Hang tags - Swing tags - Strap Etc Etc</li>
<li>Original White Tolex Case (New 10/10)</li>
</ul>
<p style='text-align: justify;'>
The above instrument is the worlds finest example as although lesser grade instrument do exist and are priced at &pound;3500 - &pound;4500 these are available as multiple purchases opposed to the above being unique (i.e. you will never locate / source another in New Condition) so thus the investment potential gain / growth will be far higher than the more common players grade instruments (This is based silly on supply / demand)</p>
<p style='text-align: justify;'></p>
<p style='text-align: center;'><strong>THIS IS AN EXAMPLE OF THE PRODUCT WE HAVE SOLD RECENTLY</strong></p>
<p style='text-align: center;'><strong>WE ARE EUROPES NO.1 DEALER OF NEW, USED AND VINTAGE GUITARS, AMPLIFIERS AND EFFECTS OVER 30 YEARS EXPERIENCE IN THE MUSIC INDUSTRY</strong>
<strong>WE BUY, SELL AND TRADE</strong>
<strong>WHOLE COLLECTIONS BOUGHT AND SOLD</strong>
<strong>IF YOU ARE LOOKING FOR A PARTICULAR CLASSIC GUITAR OR HAVE ONE TO SELL THEN PLEASE GET IN TOUCH</strong>
<strong>SALES@LONDONVINTAGEGUITARS.COM</strong></p>",1963,yes,Sunburst,yes,yes,no,20,no,no,no,1960,10,yes,0,yes,,https://www.vintageandrare.com/uploads/products/46544/1772635/original.jpg,
fender,Guitars>12 string>Electric,,49261,,Electric XII,0,,"<p>Fender 1966 Electric XII</p>
<ul>
<li>Lake Placid blue</li>
<li>Custom Colour</li>
<li>White Guard</li>
<li>Maple Neck</li>
<li>Rosewood Fingerboard</li>
<li>Split pickups</li>
</ul>
<p>This is a rare custom colour model in exceptional condition!</p>
<p style='text-align: center;'><strong>THIS IS AN EXAMPLE OF THE PRODUCT WE HAVE SOLD RECENTLY</strong></p>
<p style='text-align: center;'><strong>WE ARE EUROPES NO.1 DEALER OF NEW, USED AND VINTAGE GUITARS, AMPLIFIERS AND EFFECTS OVER 30 YEARS EXPERIENCE IN THE MUSIC INDUSTRY</strong>
<strong>WE BUY, SELL AND TRADE</strong>
<strong>WHOLE COLLECTIONS BOUGHT AND SOLD</strong>
<strong>IF YOU ARE LOOKING FOR A PARTICULAR CLASSIC GUITAR OR HAVE ONE TO SELL THEN PLEASE GET IN TOUCH</strong>
<strong>SALES@LONDONVINTAGEGUITARS.COM</strong></p>",1966,yes,Lake Placid Blue,no,yes,no,0,no,no,no,1960,10,no,0,yes,,https://www.vintageandrare.com/uploads/products/49261/1892596/original.jpg|https://www.vintageandrare.com/uploads/products/49261/1892597/original.jpg|https://www.vintageandrare.com/uploads/products/49261/1892598/original.jpg|https://www.vintageandrare.com/uploads/products/49261/1892599/original.jpg|https://www.vintageandrare.com/uploads/products/49261/1892600/original.jpg,
fender,Guitars>Semi-hollow body,http://www.denmarkstreetonline.co.uk/product-details/1969-Fender-Wildwood-Coronado-II,49262,,Coronado II Wildwood,0,,"<h1 style='text-align: center;'>Denmark Street Guitars</h1>
<h4 style='text-align: center;'>- Europes No1 Vintage Guitar Amplifier and Effects Dealer -</h4>
<p style='text-align: center;'>Over 40 years experience buying selling and trading new, used and vintage guitars, amps and FX</p>
<h2 style='text-align: center;'>1969 Fender Wildwood Coronado II</h2>
<p style='text-align: center;'>1969
Wildwood Finish (Green)
Twin Pickup
Internally - Externally Original
Condition Excellent</p>
<p style='text-align: center;'>This is example is one of the cleanest we have seen due to the finish being unfaded and vibrant.</p>
<p style='text-align: center;'>Please note the instrument/amplifier above has bee sold although please do contact us by email with your current requirements and we will will respond</p>
<p style='text-align: center;'><strong>Over 1000 instruments in stock</strong></p>
<p style='text-align: center;'><strong>WE BUY SELL &amp; TRADE WHOLE COLLECTIONS</strong></p>
<p style='text-align: center;'><strong>BEST PRICES PAID</strong></p>
<p style='text-align: center;'><strong>WORLDWIDE COLLECTION AVAILABLE</strong></p>
<p style='text-align: center;'></p>",1969,yes,Wildwood,no,yes,no,0,no,no,no,1960,10,no,0,yes,,https://www.vintageandrare.com/uploads/products/49262/1892601/original.jpg|https://www.vintageandrare.com/uploads/products/49262/1892602/original.jpg|https://www.vintageandrare.com/uploads/products/49262/1892603/original.jpg|https://www.vintageandrare.com/uploads/products/49262/1892604/original.jpg|https://www.vintageandrare.com/uploads/products/49262/1892605/original.jpg,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
