Authenticating V&R user: Musicground
Using curl_cffi (Chrome TLS fingerprint) for Cloudflare bypass
Initial page load status: 200
Submitting V&R login form...
Login response status: 200
Authentication check - 'Logout' in response: True
Authentication check - '/account' in URL: True
Authentication result: Successful
AUTH OK - Starting fixes...
1/227 VR:116418 OK (total: 1 ok, 0 err)
2/227 VR:116417 OK (total: 2 ok, 0 err)
3/227 VR:116415 OK (total: 3 ok, 0 err)
4/227 VR:116413 OK (total: 4 ok, 0 err)
5/227 VR:116411 OK (total: 5 ok, 0 err)
6/227 VR:116409 OK (total: 6 ok, 0 err)
7/227 VR:116407 OK (total: 7 ok, 0 err)
8/227 VR:116403 OK (total: 8 ok, 0 err)
9/227 VR:123487 OK (total: 9 ok, 0 err)
10/227 VR:123490 OK (total: 10 ok, 0 err)
11/227 VR:116104 OK (total: 11 ok, 0 err)
12/227 VR:116110 OK (total: 12 ok, 0 err)
13/227 VR:116126 OK (total: 13 ok, 0 err)
14/227 VR:116127 OK (total: 14 ok, 0 err)
15/227 VR:116128 OK (total: 15 ok, 0 err)
16/227 VR:116129 OK (total: 16 ok, 0 err)
17/227 VR:116130 OK (total: 17 ok, 0 err)
18/227 VR:116131 OK (total: 18 ok, 0 err)
19/227 VR:116132 OK (total: 19 ok, 0 err)
20/227 VR:116133 OK (total: 20 ok, 0 err)
21/227 VR:115251 OK (total: 21 ok, 0 err)
22/227 VR:115613 OK (total: 22 ok, 0 err)
23/227 VR:115618 OK (total: 23 ok, 0 err)
24/227 VR:123492 OK (total: 24 ok, 0 err)
25/227 VR:123493 OK (total: 25 ok, 0 err)
26/227 VR:123494 OK (total: 26 ok, 0 err)
27/227 VR:123495 OK (total: 27 ok, 0 err)
28/227 VR:123670 OK (total: 28 ok, 0 err)
29/227 VR:123515 OK (total: 29 ok, 0 err)
30/227 VR:123516 OK (total: 30 ok, 0 err)
31/227 VR:123517 OK (total: 31 ok, 0 err)
32/227 VR:123518 OK (total: 32 ok, 0 err)
33/227 VR:123519 OK (total: 33 ok, 0 err)
34/227 VR:114878 OK (total: 34 ok, 0 err)
35/227 VR:114691 OK (total: 35 ok, 0 err)
36/227 VR:114692 OK (total: 36 ok, 0 err)
37/227 VR:123520 OK (total: 37 ok, 0 err)
38/227 VR:123521 OK (total: 38 ok, 0 err)
39/227 VR:123522 OK (total: 39 ok, 0 err)
40/227 VR:113077 OK (total: 40 ok, 0 err)
41/227 VR:112569 OK (total: 41 ok, 0 err)
42/227 VR:112571 OK (total: 42 ok, 0 err)
43/227 VR:112582 OK (total: 43 ok, 0 err)
44/227 VR:112589 OK (total: 44 ok, 0 err)
45/227 VR:112587 OK (total: 45 ok, 0 err)
46/227 VR:123528 OK (total: 46 ok, 0 err)
47/227 VR:112601 OK (total: 47 ok, 0 err)
48/227 VR:112602 OK (total: 48 ok, 0 err)
49/227 VR:112603 OK (total: 49 ok, 0 err)
50/227 VR:123529 OK (total: 50 ok, 0 err)
51/227 VR:123530 OK (total: 51 ok, 0 err)
52/227 VR:123531 OK (total: 52 ok, 0 err)
53/227 VR:123532 OK (total: 53 ok, 0 err)
54/227 VR:123534 OK (total: 54 ok, 0 err)
55/227 VR:123536 OK (total: 55 ok, 0 err)
56/227 VR:123537 OK (total: 56 ok, 0 err)
57/227 VR:123538 OK (total: 57 ok, 0 err)
58/227 VR:91840 OK (total: 58 ok, 0 err)
59/227 VR:123539 OK (total: 59 ok, 0 err)
60/227 VR:123540 OK (total: 60 ok, 0 err)
61/227 VR:96960 OK (total: 61 ok, 0 err)
62/227 VR:96116 OK (total: 62 ok, 0 err)
63/227 VR:95730 OK (total: 63 ok, 0 err)
64/227 VR:123676 OK (total: 64 ok, 0 err)
65/227 VR:123542 OK (total: 65 ok, 0 err)
66/227 VR:123544 OK (total: 66 ok, 0 err)
67/227 VR:91392 OK (total: 67 ok, 0 err)
68/227 VR:91391 OK (total: 68 ok, 0 err)
69/227 VR:81477 OK (total: 69 ok, 0 err)
70/227 VR:81867 OK (total: 70 ok, 0 err)
71/227 VR:123546 OK (total: 71 ok, 0 err)
72/227 VR:112292 OK (total: 72 ok, 0 err)
73/227 VR:112294 OK (total: 73 ok, 0 err)
74/227 VR:112021 OK (total: 74 ok, 0 err)
75/227 VR:112031 OK (total: 75 ok, 0 err)
76/227 VR:112035 OK (total: 76 ok, 0 err)
77/227 VR:112036 OK (total: 77 ok, 0 err)
78/227 VR:112039 OK (total: 78 ok, 0 err)
79/227 VR:123631 OK (total: 79 ok, 0 err)
80/227 VR:123660 OK (total: 80 ok, 0 err)
81/227 VR:123614 OK (total: 81 ok, 0 err)
82/227 VR:123590 OK (total: 82 ok, 0 err)
83/227 VR:123601 OK (total: 83 ok, 0 err)
84/227 VR:123608 OK (total: 84 ok, 0 err)
85/227 VR:123605 OK (total: 85 ok, 0 err)
86/227 VR:111109 OK (total: 86 ok, 0 err)
87/227 VR:111111 OK (total: 87 ok, 0 err)
88/227 VR:111002 OK (total: 88 ok, 0 err)
89/227 VR:111005 OK (total: 89 ok, 0 err)
90/227 VR:111019 OK (total: 90 ok, 0 err)
91/227 VR:111027 OK (total: 91 ok, 0 err)
92/227 VR:123635 OK (total: 92 ok, 0 err)
93/227 VR:123597 OK (total: 93 ok, 0 err)
94/227 VR:70480 OK (total: 94 ok, 0 err)
95/227 VR:56167 OK (total: 95 ok, 0 err)
